Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xe7da271838ce05e1279f80dc61b860c905b3beb6e627329c67128abae76d7969,4809330,1701539616,12/2/2023 17:53,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.10206E-05,0,,,,0xdd8b143e
0x3625fdf411bc3fb02be380917a3700c61dba2e6f0965c41ff7850f55d17aac71,4809331,1701539628,12/2/2023 17:53,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,4.15048E-06,0,,,,Grant Permission
0xe421576547b6459d9929b2d3b92bc14d895edaa549c79e55334abcf38eb0c7db,4809332,1701539640,12/2/2023 17:54,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.05357E-05,0,,,,0xdd8b143e
0x68cc9880597cdf6c73aae5084e24456cefe9942dba958d97e84b2fede59b83dd,4809342,1701539820,12/2/2023 17:57,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,5.15677E-06,0,,,,Grant Permission
0xacc6d49ec04b42092e6ee0e565920c1a5299b49839bbce5192f88f38d5ba238a,4809343,1701539832,12/2/2023 17:57,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.32435E-05,0,,,,0xdd8b143e
0x2fa5d3cbcc2d3e276fca69da9a63dff553266c9958ad4b0ae19b828875904530,4809353,1701539964,12/2/2023 17:59,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.62132E-05,0,,,,0xdd8b143e
0x8c14a0730f932a168910ffb00626692e960da33c6ab1aebdf0d93948d710b3ef,4809552,1701542664,12/2/2023 18:44,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,5.2749E-06,0,,,,Grant Permission
0x5a43f815c46e83a7cab3cab064e493970ad6be994c18a5e97f966fdf5389016b,4809554,1701542688,12/2/2023 18:44,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,4.36819E-06,0,,,,Grant Permission
0x7171ea11977a64ce072f553c0cc8101ccb45ed1cfa2d10236414e24ec328680c,4809557,1701542724,12/2/2023 18:45,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.16093E-05,0,,,,0xdd8b143e
0xa2cb27afdaba36599571efa35d3915b734ba6a5f767421496d500da4b0fb9099,4809558,1701542736,12/2/2023 18:45,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,4.12597E-06,0,,,,Grant Permission
